"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19790715020969I","15-JUL-79","WEYMOUTH","MA","","INCIDENT","","NORMAL CRUISE","BEECH","BE-23","","","PERSONAL","GENERAL OPERATING RULES","NONE","18881","0","0","","","","","PRIVATE PILOT","68","9","0","0"
"19790718019229I","18-JUL-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","MCDONNELL-DOUGLAS-BOEING","DC-9","32","AIR CANADA","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","NONE","CFTMT","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790719022329I","19-JUL-79","HYANNIS","MA","HYANNIS MUNI","INCIDENT","","FCD/PREC LDG FROM CRUISE","PIPER","PA-31","PA-31-350","NOR EAST COMMUTER AIRLINES","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","850ST","0","0","LYC","TIO540J2BD","O540","2","AIRLINE TRANSPORT","5000","1500","0","0"
"19790719022439I","19-JUL-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","BOEING","727","200","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8121N","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790721021089I","21-JUL-79","FITCHBURG","MA","FITCHBURG MUNI","INCIDENT","MINOR","OTHER GROUND OPERATIONS","PIPER","PA-J3C","PA-J3C-65","","PERSONAL","GENERAL OPERATING RULES","NONE","92060","0","0","","","","1","PRIVATE PILOT","600","550","0","0"
"19790725021909I","25-JUL-79","WAREHAM","MA","WAREHAM MUNI","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","DE HAVILLAND-BOMBARDIER","DHC-1","","","PERSONAL","GENERAL OPERATING RULES","NONE","48250","0","0","","","","1","PRIVATE PILOT","482","15","0","0"
"19790728012759I","28-JUL-79","NORFOLK","MA","NORFOLK MUNI","INCIDENT","","NORMAL CRUISE","PIPER","PA-22","PA-22-150","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","4400A","0","0","","","","1","PRIVATE PILOT","125","2","0","0"
"19790729022669I","29-JUL-79","TAUNTON","MA","TAUNTON MUNI - KING FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-24","","","PERSONAL","GENERAL OPERATING RULES","NONE","6303P","0","0","","","","1","PRIVATE PILOT","950","650","0","0"
"19790731015009I","31-JUL-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","747","","BRANIFF INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","610BN","0","0","PWA","JT9D7A","JT9","4","AIRLINE TRANSPORT","","0","0","0"
"19790801029149I","01-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TAKEOFF GROUND ROLL","BOEING","727","","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","814AA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790801029179I","01-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","493DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790802029749I","02-AUG-79","BOSTON","MA","BOSTON INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","31CF","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8923E","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790804029999I","04-AUG-79","BOSTON","MA","","INCIDENT","","NORMAL CRUISE","BOEING","747","","BRANIFF INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","749BN","0","0","PWA","JT9*","JT9","4","AIRLINE TRANSPORT","","0","0","0"
"19790804030949I","04-AUG-79","NORWOOD","MA","NORWOOD MUNI","INCIDENT","MINOR","TO ABORTED (FIXED WING)","PIPER","PA-32","PA-32-R300","","PERSONAL","GENERAL OPERATING RULES","NONE","4945F","0","0","","","","1","COMMERCIAL PILOT","941","89","0","0"
"19790805029429I","05-AUG-79","NEW BEDFORD","MA","NEW BEDFORD MUNI","INCIDENT","MINOR","FINAL APPROACH","PIPER","PA-32","PA-32-RT300T","","OTHER","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","36824","0","0","","","","1","AIRLINE TRANSPORT","3300","12","0","0"
"19790807029609I","07-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","BOEING","747","","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","621US","0","0","PWA","JT9D7","JT9","","AIRLINE TRANSPORT","","0","0","0"
"19790807029619I","07-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","PIPER","PA-31","PA-31-350","NOR EAST COMMUTER AIRLINES","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","VISUAL FLIGHT RULES","66860","0","0","","","","2","AIRLINE TRANSPORT","3000","150","0","0"
"19790809030329I","09-AUG-79","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-180","CE-180-A","","PERSONAL","GENERAL OPERATING RULES","NONE","481D","0","0","","","","1","PRIVATE PILOT","2750","820","0","0"
"19790810030119I","10-AUG-79","WESTFIELD","MA","BARNES MUNI","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","CESSNA","CE-337","","FERNS FLYING SERVICE INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","25435","0","0","","","","2","AIRLINE TRANSPORT","3000","800","0","0"
"19790811030449I","11-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","747","","BRANIFF INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","601BN","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19790811030459I","11-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","707","120B","TRANS WORLD AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","6789T","0","0","PWA","JT3D*","JT3D","4","AIRLINE TRANSPORT","","0","0","0"
"19790811030519I","11-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1286L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790817031719I","17-AUG-79","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","GO ROUND (ABORTED VISUAL FLIGHT RULES)","CONVAIR-GENERAL DYNAMICS","CV-340","CV-340-580STC","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","5823","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790817031729I","17-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","BOEING","747","","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","624US","0","0","PWA","JT8*","JT8","","AIRLINE TRANSPORT","","0","0","0"
"19790817031789I","17-AUG-79","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","MOONEY","M-20","M-20-E","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2585W","0","0","LYC","IO360A1A","O360","1","AIRLINE TRANSPORT","","0","0","0"
"19790818032149I","18-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-10","","ALITALIA","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","DEFENSE VISUAL FLIGHT RULES","IDYNU","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790820032539I","20-AUG-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","477DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790821033109I","21-AUG-79","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","NORMAL CRUISE","CESSNA","CE-402","","","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","VISUAL FLIGHT RULES","7807Q","0","0","CONT","TSIO520EB","O520","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","769","131","0","0"
"19790826032839I","26-AUG-79","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","LOW LEVEL OPERATIONS","BLANCA","BL-8","CHAMP-8-KCAB","","OTHER","GENERAL OPERATING RULES","NONE","50240","0","0","","","","1","COMMERCIAL PILOT","550","200","0","0"
"19790827032889I","27-AUG-79","PROVINCETOWN","MA","","INCIDENT","MINOR","NORMAL CRUISE","BBAVIA","BBAVIA-7","BBAVIA-7-GCBC","","OTHER","GENERAL OPERATING RULES","NONE","53824","0","0","","","","1","COMMERCIAL PILOT","2500","400","0","0"
"19790902033869I","02-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FINAL APPROACH","PIPER","PA-31","PA-31-350","NOR EAST COMMUTER AIRLINES","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","VISUAL FLIGHT RULES","850ST","0","0","","","","2","AIRLINE TRANSPORT","2800","237","0","0"
"19790903034069I","03-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER HELICOPTER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","239Z","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19790904034329I","04-SEP-79","BEVERLY","MA","BEVERLY MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-160","","PERSONAL","GENERAL OPERATING RULES","NONE","5240W","0","0","","","","1","COMMERCIAL PILOT","375","30","0","0"
"19790904034339I","04-SEP-79","BEDFORD","MA","","INCIDENT","MINOR","FINAL APPROACH","CESSNA","CE-172","CE-172-K","","INSTRUCTION","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","7373G","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4200","700","0","0"
"19790904034349I","04-SEP-79","BEDFORD","MA","LAURENCE G HANSCOM FLD","INCIDENT","","NORMAL CRUISE","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","NONE","733NC","0","0","","","","1","PRIVATE PILOT","3000","200","0","0"
"19790904034399I","04-SEP-79","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","GULSTM","GA-112","GA-112-TC","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1542J","0","0","","","","1","AIRLINE TRANSPORT","","0","0","0"
"19790904034409I","04-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1644","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790914035379I","14-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","BOEING","727","","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7049U","0","0","PWA","JT8*","JT8","3","AIRLINE TRANSPORT","","0","0","0"
"19790914035399I","14-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-10","","","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","ADFO","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19790914035419I","14-SEP-79","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","PIPER","PA-31","PA-31-350","PRECISION VALLEY AVIATION INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","27812","0","0","","","","2","COMMERCIAL PILOT","3900","1500","0","0"
"19790915049189I","15-SEP-79","BEDFORD","MA","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","6015V","0","0","","","","1","PRIVATE PILOT","140","40","0","0"
"19790917023619I","17-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","SUBSTANTIAL","NORMAL CRUISE","MCDONNELL-DOUGLAS-BOEING","DC-9","","AIR CANADA","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","CFTLU","0","5","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790918023759I","18-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","VISUAL FLIGHT RULES","NR214","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790921051289I","21-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","333","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19790921051299I","21-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","AEROSPATIALE","CONCORDE","100","AIR FRANCE","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","FBVFB","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19790922050979I","22-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","727","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","400DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790923050569I","23-SEP-79","HARVARD","MA","","INCIDENT","","CLIMB","AERSTR","AERSTR-S55","AERSTR-S55-A","","PERSONAL","GENERAL OPERATING RULES","NONE","2463R","0","0","","","","0","COMMERCIAL PILOT","5800","140","0","0"
"19790924050119I","24-SEP-79","MARTHAS VINEYARD","MA","MARTHAS VINEYAR MUNI","INCIDENT","MINOR","NORMAL CRUISE","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","379NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790926049509I","26-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","PIPER","PA-31","PA-31-350","PRECISION VALLEY AVIATION INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","27812","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4400","1100","0","0"
"19790927049989I","27-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1930","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790927050019I","27-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","727","200","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8861E","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790927050039I","27-SEP-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","974EA","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791005050499I","05-OCT-79","CHELMSFORD","MA","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-172","CE-172-K","","PERSONAL","GENERAL OPERATING RULES","NONE","7270G","0","0","","","","1","PRIVATE PILOT","1520","1400","0","0"
"19791009051759I","09-OCT-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","201E","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19791012052409I","12-OCT-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BOEING","727","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","5160A","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19791014052839I","14-OCT-79","HAVERHILL","MA","HAVERHILL MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-151","","PERSONAL","GENERAL OPERATING RULES","NONE","6185J","0","0","","","","1","PRIVATE PILOT","109","60","0","0"
"19791016052059I","16-OCT-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1286L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791017051229I","17-OCT-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-172","CE-172-G","","PERSONAL","GENERAL OPERATING RULES","NONE","1149F","0","0","","","","1","COMMERCIAL PILOT","650","400","0","0"
"19791026054279I","26-OCT-79","NORWOOD","MA","NORWOOD MUNI","INCIDENT","MINOR","NORMAL CRUISE","CESSNA","CE-150","CE-150-A","","PERSONAL","GENERAL OPERATING RULES","NONE","7335A","0","0","","","","1","STUDENT","110","65","0","0"
"19791027054229I","27-OCT-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","449DA","0","0","PWA","JT8*","JT8","3","AIRLINE TRANSPORT","","0","0","0"
"19791028054089I","28-OCT-79","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","CLIMB","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","376NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791103056859I","03-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","707","","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7508","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19791103056889I","03-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","BOEING","747","100","TRANS WORLD AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","93105","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19791105054809I","05-NOV-79","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","DOUG","DC-6","DC-6-A","PETROLEUM AIR TRANSPORT","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","44DG","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19791106055819I","06-NOV-79","NORWOOD","MA","NORWOOD MUNI","INCIDENT","MINOR","TOUCH AND GO LANDING","CESSNA","CE-172","CE-172-N","","BUSINESS","GENERAL OPERATING RULES","NONE","739RZ","0","0","","","","1","PRIVATE PILOT","186","150","0","0"
"19791107055539I","07-NOV-79","BEDFORD","MA","LAURENCE G HANSCOM FLD","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","PIPER","PA-31","PA-31-350","","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","74955","0","0","","","","2","AIRLINE TRANSPORT","3700","80","0","0"
"19791108055129I","08-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","377NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791109055389I","09-NOV-79","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TAKEOFF GROUND ROLL","MCDONNELL-DOUGLAS-BOEING","DC-10","10","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","108AA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19791113053619I","13-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","336EA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19791115055879I","15-NOV-79","WORCESTER","MA","WORCESTER RGNL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BOEING","727","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","416DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19791115055899I","15-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","BOEING","727","","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","753U","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19791115055909I","15-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","301EA","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19791121045089I","21-NOV-79","BEVERLY","MA","BEVERLY MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-140","","INSTRUCTION","GENERAL OPERATING RULES","NONE","6526W","0","0","","","","1","STUDENT","22","22","0","0"
"19791126046179I","26-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","377NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791128045439I","28-NOV-79","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-10","","BRITISH AIRWAYS","SCHEDULED AIR CARRIER","FOREIGN AIR CARRIER","INSTRUMENT FLIGHT RULES","NR224","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
