,AIDS Report Number,Event City,Aircraft Make,Aircraft Model,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Total Fatalities,Total Injuries,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
605,19820129000399I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
606,19820201003639I,EAST BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
607,19820209010819I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
608,19820211003529I,BRAINTREE,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
609,19820212006009I,PEPPERELL,CESSNA,CE-152,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2100.0,1300.0
610,19820212009379I,MONTAGUE,PIPER,PA-23,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT,5300.0,1000.0
611,19820220005999I,BEDFORD,BEECH,BE-76,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,204.0,72.0
612,19820223012279I,FITCHBURG,CESSNA,CE-206,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,STUDENT,73.0,17.0
613,19820308007519I,BOSTON,SHORTS-BOMBARDIER,330,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,4620.0,1500.0
614,19820319012859I,BEDFORD,RUTAN,VARIEZE,OTHER,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,1850.0,4.0
615,19820322013209I,NORWOOD,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,133.0,130.0
616,19820410028629I,NORFOLK,CESSNA,CE-182,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,85.0,26.0
617,19820422028619I,MARSHFIELD,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,10700.0,50.0
618,19820423017789I,WESTFIELD,PIPER,PA-32,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,226.0,60.0
619,19820502025009I,BOSTON,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,120.0,40.0
620,19820502025679I,NORTH ANDOVER,STARDUSTER,SA-300,PERSONAL,GENERAL OPERATING RULES,,0,0,PRIVATE PILOT,500.0,250.0
621,19820504022959I,MARSHFIELD,CESSNA,CE-414,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,9000.0,1700.0
622,19820510029339I,BOSTON,PIPER,PA-24,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,1000.0,400.0
623,19820513030409I,NORTH ATTLEBORO,BEECH,BE-23,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,500.0,350.0
624,19820518030419I,NORWOOD,PIPER,PA-38,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,STUDENT,28.0,28.0
625,19820528034139I,BOSTON,CASA,212,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,7000.0,600.0
626,19820608031139I,NORTH ADAMS,BEECH,BE-90,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,21600.0,2500.0
627,19820623024659I,HYANNIS,SNIAS,SA-330,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,9469.0,1306.0
628,19820623031309I,PLYMOUTH,BEECH,BE-95,BUSINESS,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3100.0,36.0
629,19820625038529I,NORWOOD,CESSNA,CE-170,OTHER,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,400.0,150.0
630,19820703040369I,SOUTH WEYMOUTH,PIPER,PA-32,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT,15000.0,450.0
631,19820704046159I,NANTUCKET,CESSNA,CE-177,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,1400.0,350.0
632,19820705043129I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,13649.0,2030.0
633,19820707053659I,OAK BLUFFS,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,386.0,20.0
634,19820708053599I,BOSTON,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2372.0,971.0
635,19820714046811I,BROCKTON,,,OTHER,GENERAL OPERATING RULES,NONE,0,0,UNKNOWN/FOREIGN,2824.522308892356,547.8739469578783
636,19820714046812I,BROCKTON,BEECH,BE-33,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,150.0,20.0
637,19820720037329I,EAST BOSTON,BOEING,737,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
638,19820721034149I,WESTFIELD,CESSNA,CE-172,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,STUDENT,64.0,18.0
639,19820725045669I,NANTUCKET,SWEARINGEN-FAIRCHILD,SA-226,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,3500.0,100.0
640,19820807050649I,NORTHAMPTON,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,300.0,200.0
641,19820808057479I,BOSTON,DOUG,DC-3,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
642,19820813046279I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
643,19820818063379I,PLYMOUTH,BUSHBY,MUSTANG II,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,452.0,547.8739469578783
644,19820821055619I,BOSTON,BEECH,BE-76,BUSINESS,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,500.0,30.0
645,19820904053459I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,4800.0,200.0
646,19820913053949I,PALMER,CORBEN,BABYACE,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,700.0,10.0
647,19820916059509I,BOSTON,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,8600.0,2000.0
648,19820920061019I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
649,19820921058959I,NANTUCKET,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,4700.0,1000.0
650,19820924056119I,BOSTON,PIPER,PA-23,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,7639.0,509.0
651,19820925066159I,HYANNIS,CESSNA,CE-150,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,STUDENT,45.0,43.0
652,19820926062539I,BOSTON,BEECH,BE-65,EXECUTIVE,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT,8720.0,4000.0
653,19821020065659I,CANTON,STOLAM,RC-3,OTHER,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,4500.0,100.0
654,19821022063129I,WESTFIELD,MOONEY,M-20,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,650.0,90.0
655,19821024062019I,BEDFORD,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,300.0,225.0
656,19821027065559I,MARLBORO,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,57.0,547.8739469578783
657,19821029067609I,BOSTON,PIPER,PA-38,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,STUDENT,40.0,40.0
658,19821030065509I,NORWOOD,MOONEY,M-20,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,809.0,208.0
659,19821031065539I,MARSHFIELD,NAVION,NAV-A,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,502.0,108.0
660,19821110065529I,BOSTON,CONVAIR-GENERAL DYNAMICS,CV-340,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,1100.0
661,19821111066549I,MIDDLEBORO,CESSNA,CE-172,INSTRUCTION,GENERAL OPERATING RULES,UNKNOWN,0,0,STUDENT,72.0,40.0
662,19821112066249I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
663,19821208067599I,STOW,PIPER,PA-38,INSTRUCTION,PILOT SCHOOLS,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,743.0,200.0
664,19821213068749I,WEST TISBURY,PIPER,PA-31,AIR TAXI (SCHEDULED- NOT COMMUTER),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,7000.0,1000.0
665,19821216067909I,NORWOOD,CESSNA,CE-421,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,3000.0,600.0
666,19821216069479I,NEW BEDFORD,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,4700.0,1000.0
667,19821225068439I,MARTHAS VINEYARD,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,4200.0,175.0
668,19821226069489I,BOSTON,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,600.0,500.0
669,19821231069499I,MARSHFIELD,CESSNA,CE-182,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,3500.0,40.0
670,19830108002589I,HAVERHILL,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,180.0,10.0
671,19830117007879I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
672,19830129007849I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
673,19830203012169I,BOSTON,PIPER,PA-31,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT,1050.0,225.0
674,19830204029149I,GREAT BARRINGTON,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,198.0,194.0
675,19830205007439I,BOSTON,CESSNA,CE-206,BUSINESS,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,12000.0,200.0
676,19830207007789I,BOSTON,BOEING,757,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
677,19830207011449I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
678,19830207011529I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
679,19830211010349I,NORWOOD,PIPER,PA-44,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,1000.0,500.0
680,19830216007929I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
681,19830221007679I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
682,19830221019229I,,CESSNA,CE-170,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,1850.0,30.0
683,19830224011519I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
684,19830226010189I,ANDOVER,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,551.0,400.0
685,19830226012619I,GREAT BARRINGTON,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,175.0,169.0
686,19830301012239I,BOSTON,AIRBUS,A300,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
687,19830306013179I,NORWOOD,BEECH,BE-19,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,STUDENT,33.0,25.0
688,19830312017509I,MARTHAS VINEYARD,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2700.0,325.0
689,19830319017739I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
690,19830411020159I,NORWOOD,PIPER,PA-31,AIR TAXI (SCHEDULED- NOT COMMUTER),AIR TAXI/COMMUTER,UNKNOWN,0,0,AIRLINE TRANSPORT,5241.0,624.0
691,19830411020489I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
692,19830411021109I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,2,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
693,19830414024499I,NORWOOD,PIPER,PA-38,INSTRUCTION,PILOT SCHOOLS,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2824.522308892356,547.8739469578783
694,19830415040139I,BOSTON,PIPER,PA-30,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,UNKNOWN/FOREIGN,2824.522308892356,547.8739469578783
695,19830419023179I,BOSTON,BOEING,737,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
696,19830426023859I,BOSTON,ENSTRM,ENSTRM-F28,INDUSTRIAL/SPECIAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,UNKNOWN/FOREIGN,2824.522308892356,547.8739469578783
697,19830427023889I,STOW,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,PRIVATE PILOT,221.0,218.0
698,19830429020039I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
699,19830501029009I,ORANGE,CESSNA,CE-185,BUSINESS,GENERAL OPERATING RULES,NONE,0,0,AIRLINE TRANSPORT,4200.0,1928.0
700,19830503031009I,WEYMOUTH,PIPER,PA-28,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,642.0,400.0
701,19830509024029I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
702,19830513029029I,BOSTON,CESSNA,CE-402,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
703,19830518031239I,BEDFORD,BEECH,BE-77,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,STUDENT,29.0,29.0
704,19830520037609I,BOSTON,PIPER,PA-31,OTHER,AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,5000.0,1500.0
705,19830525035199I,BEVERLY,PIPER,PA-23,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,COMMERCIAL PILOT,12000.0,4000.0
706,19830525037599I,BEDFORD,CESSNA,CE-182,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,STUDENT,46.0,32.0
707,19830530037619I,NEW BEDFORD,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,212.0,105.0
708,19830603037319I,BOSTON,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
709,19830605034079I,NEW BEDFORD,CESSNA,CE-310,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,10000.0,500.0
710,19830609037589I,FALL RIVER,CESSNA,CE-152,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,STUDENT,29.0,29.0
711,19830611029439I,MARTHAS VINEYARD,CESSNA,CE-182,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,350.0,75.0
712,19830611035229I,NANTUCKET,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,UNKNOWN,0,0,PRIVATE PILOT,130.0,110.0
713,19830618040089I,LAWRENCE,PIPER,PA-32,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000.0,300.0
714,19830621040169I,NANTUCKET,CESSNA,CE-150,OTHER,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1400.0,800.0
715,19830623040039I,NANTUCKET,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
716,19830624037679I,MANSFIELD,STOLP STARDUSTER,SA300,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,227.0,27.0
717,19830624049809I,MARTHAS VINEYARD,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,4200.0,110.0
718,19830626038809I,STERLING,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,114.0,34.0
719,19830701040339I,SUNDERLAND,CESSNA,CE-182,OTHER,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,450.0,100.0
720,19830704040009I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
721,19830704041289I,MARTHAS VINEYARD,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,3500.0,1500.0
722,19830706050449I,MARBLEHEAD,,,OTHER,GENERAL OPERATING RULES,NONE,0,0,,2824.522308892356,547.8739469578783
723,19830708040029I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
724,19830709040219I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
725,19830709049999I,TAUNTON,CESSNA,CE-172,OTHER,PARACHUTE JUMPING,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2824.522308892356,300.0
726,19830710042169I,HYANNIS,CESSNA,CE-150,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,STUDENT,55.0,55.0
727,19830713042289I,HYANNIS,DOUG,DC-3,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,5000.0,425.0
728,19830715042159I,BOSTON,CESSNA,CE-172,OTHER,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,3808.0,1400.0
729,19830716040229I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
730,19830717045769I,BOSTON,AIRBUS,A300,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
731,19830722049719I,BOSTON,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,6200.0,925.0
732,19830724044429I,CHESTERFIELD,BEECH,BE-23,PERSONAL,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,370.0,320.0
733,19830731044859I,HAVERHILL,BLANCA,BL-8,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,523.0,197.0
734,19830803046919I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
735,19830803062229I,NORFOLK,CESSNA,CE-182,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,4000.0,188.0
736,19830813045799I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
737,19830814062279I,BOXBOROUGH,BEECH,BE-23,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT,581.0,1.0
738,19830823049729I,MANSFIELD,,,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,PRIVATE PILOT,863.0,1.0
739,19830902052019I,STERLING JUNCTION,BLANCA,BL-7,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,1200.0,100.0
740,19830907065409I,TAUNTON,CESSNA,CE-182,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,PRIVATE PILOT,1500.0,500.0
741,19830920066289I,BOSTON,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,1,COMMERCIAL PILOT,4200.0,2040.0
